codigo_veiculo;nome_veiculo_ref;capacidade_litros
155;VW/NOVA SAVEIRO RB;54
156;CAR/CAMINHÃO MEC OPERACIONAL;80
157;MOTONIVELADORA;300
158;VW/PARATI 1.6 CITY;50
159;FIAT DUCATO GREENC AMB;80
160;CHEV/SPIN 18L MT PREMIER;52
161;RETROESCAVADEIRA;100
162;LOGAN;50
163;TRATOR;80
164;KWID ZEN 10MT;35
165;KWID ZEN 10MT;35
166;KWID ZEN 10MT;35
167;RENAULT MASTER ACESSIVEL;80
168;VW/NEOBUS TH;200
169;VW/NEOBUS TH;200
170;IVECO/BUS 10-190E;200
171;IVECO/BUS 10-190E;200
172;MPOLO/VOLARE V8L 4X4;100
173;FIAT DOBLO ESSENCE;55
174;RETROESCAVEIRA;100
175;FIAT DUCATO GREENC AMB;80
176;FIAT/FIORINO ENDURANCE;47
178;VW/17.190 CRM CAMINHÃO;200
179;VW/GOL 1.0L MC4;50
180;VW/GOL 1.0L MC4;50
181;VW/GOL 1.0L MC4;50
182;CAR/CAMINHÃO M.BENZ L113;150
183;RETRO ESCAVADEIRA HIDRAULICA;100
184;M.BENZ 416 ALPHA6;75
185;VW/NEOBUS TH MIDI;200
186;PÁ CARREGADEIRA LW 300BR;120
187;M.BENZ/ATEGO 1419;200
188;AMBULÂNCIA FURGÃO PEUGEOT;80
189;VW/NEOBUS 15.190 ESCOLAR;200
190;CAMINHAO POLIGUINDASTE VW/14.190;200
191;SPRINTER TCA AMBULANCIA;75
192;CAMINHAO M.BENZ/ATEGO 6X4;300
193;VW NEOBUS 8.160 ESC;150
194;RETROESCAVADEIRA XCMG XL87BR;100
195;MOTONIVELADORA SEM 919;300
196;M. BENZ/ LK 1520;200
198;ONIBUS VW NEOBUS;200
199;SAVEIRO VW/CS/RB;54
200;CAMINHAO BASC M.BENZ/LK;200
201;CAMINHAO VW BASCULANTE;200
203;AMBULANCIA DUCATO 2019;80
204;PEUGEOT EXPERT;60
205;VW/SAVEIRO CS RB MPI;54
207;RENAULT/KWID INTENS;35
208;RENAULT/KWID INTENS;35
209;FIAT/STRADA FREEDOM;55
210;RENAULT/KWID ZEN;35
211;FORD TRANSIT AMB;80
212;ROLO COMPACTADOR XCMG;100
213;TRATOR AGRICOLA ENSIGN YX804;80
214;CITROEN C3;45
215;CHEV/ONIX PLUS LTZ;43
216;FIAT SCUDO;60
217;ÔNIBUS ESCOLAR;200
218;RENAULT MASTER FLASH;80
219;VW/VIRTUS;52
220;CITROEN JUMPY MICRO;60
221;CITROEN C3 1.0MT;45
222;VOLVO/VM 290 4X2;400
223;MARCOPOLO/VOLARE W-L ON;120
224;MARCOPOLO/VOLARE W-L ON;120
225;M.BENZ 417 SPRINTER AMB;75
226;ESCAVADEIRA HIDRÁULICA XCMG XE180BR;200
227;PÁ CARREGADEIRA XCMG LW350KV;150
228;ROLO COMPACTADOR XCMG XS123PDBR;100
229;CITROEN C3 LIVE 1.0;45
230;VOLVO/VM 360 6X4;500
231;VOLVO/VM 360 6X4;500
232;VW/VIRTUS;52
